,path,Total,Total Entity,B Entity
0,"['root', 'nsubjpass', 'amod']",8,1,1
1,"['root', 'nsubjpass']",38,5,2
2,['root'],550,69,45
3,"['root', 'auxpass']",35,0,0
4,"['advcl', 'prep', 'pcomp', 'prep', 'pobj', 'det']",2,0,0
5,['punct'],1,0,0
6,['advcl'],1,0,0
7,"['advcl', 'dobj']",1,0,0
8,"['advcl', 'prep']",1,0,0
9,"['advcl', 'prep', 'pcomp']",1,0,0
10,"['advcl', 'prep', 'pcomp', 'prep']",1,0,0
11,"['advcl', 'prep', 'pcomp', 'prep', 'pobj']",1,0,0
12,"['root', 'punct']",724,3,0
13,"['root', 'ccomp', 'npadvmod', 'amod']",2,0,0
14,"['root', 'ccomp', 'npadvmod']",4,0,0
15,"['root', 'ccomp']",146,0,0
16,"['root', 'ccomp', 'punct']",37,0,0
17,"['root', 'ccomp', 'nsubj', 'det']",40,0,0
18,"['root', 'ccomp', 'nsubj']",117,23,14
19,"['root', 'ccomp', 'nsubj', 'amod']",19,6,6
20,"['root', 'ccomp', 'aux']",53,0,0
21,"['root', 'ccomp', 'dobj', 'amod']",11,2,2
22,"['root', 'ccomp', 'dobj']",45,5,4
23,"['root', 'ccomp', 'dobj', 'prep']",22,0,0
24,"['root', 'ccomp', 'dobj', 'prep', 'pobj']",16,4,1
25,"['root', 'ccomp', 'advcl', 'mark']",7,0,0
26,"['root', 'ccomp', 'advcl', 'nsubj']",8,0,0
27,"['root', 'ccomp', 'advcl', 'xcomp', 'aux']",3,0,0
28,"['root', 'ccomp', 'advcl', 'xcomp']",2,0,0
29,"['root', 'ccomp', 'advcl', 'xcomp', 'dobj']",1,0,0
30,"['root', 'ccomp', 'advcl', 'xcomp', 'dobj', 'relcl', 'dobj']",1,0,0
31,"['root', 'ccomp', 'advcl', 'xcomp', 'dobj', 'relcl']",1,0,0
32,"['root', 'ccomp', 'advcl', 'xcomp', 'dobj', 'relcl', 'nsubj']",1,0,0
33,"['root', 'ccomp', 'advcl', 'xcomp', 'dobj', 'relcl', 'aux']",1,0,0
34,"['root', 'ccomp', 'advcl', 'xcomp', 'dobj', 'relcl', 'prt']",1,0,0
35,"['root', 'ccomp', 'advcl', 'xcomp', 'dobj', 'relcl', 'prep']",1,0,0
36,"['root', 'ccomp', 'advcl', 'xcomp', 'dobj', 'relcl', 'prep', 'pobj', 'amod']",1,0,0
37,"['root', 'ccomp', 'advcl', 'xcomp', 'dobj', 'relcl', 'prep', 'pobj']",1,0,0
38,"['root', 'ccomp', 'advcl', 'xcomp', 'dobj', 'relcl', 'prep', 'pobj', 'compound']",1,0,0
39,"['root', 'ccomp', 'advcl', 'xcomp', 'dobj', 'relcl', 'prep', 'pobj', 'prep']",1,0,0
40,"['root', 'ccomp', 'advcl', 'xcomp', 'dobj', 'relcl', 'prep', 'pobj', 'prep', 'pobj']",1,0,0
41,"['root', 'ccomp', 'advcl', 'xcomp', 'dobj', 'relcl', 'prep', 'pobj', 'prep', 'pobj', 'conj']",1,0,0
42,"['root', 'ccomp', 'advcl', 'xcomp', 'dobj', 'relcl', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'cc']",1,0,0
43,"['root', 'ccomp', 'advcl', 'xcomp', 'dobj', 'relcl', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'conj']",1,0,0
44,"['root', 'nsubj']",356,104,56
45,"['root', 'compound']",59,34,29
46,"['root', 'appos', 'compound', 'compound']",4,2,2
47,"['root', 'appos', 'compound']",36,15,9
48,"['root', 'appos']",103,17,10
49,"['root', 'nsubj', 'compound']",132,84,64
50,"['root', 'ccomp', 'nsubj', 'compound', 'compound']",5,3,3
51,"['root', 'ccomp', 'nsubj', 'compound']",31,16,11
52,"['root', 'nsubj', 'det']",72,1,1
53,"['root', 'nsubj', 'amod']",38,18,18
54,"['root', 'nsubj', 'prep']",38,4,0
55,"['root', 'nsubj', 'prep', 'pobj', 'compound', 'compound', 'compound']",1,0,0
56,"['root', 'nsubj', 'prep', 'pobj', 'compound', 'compound']",1,0,0
57,"['root', 'nsubj', 'prep', 'pobj', 'compound']",9,4,4
58,"['root', 'nsubj', 'prep', 'pobj']",30,13,8
59,"['root', 'ccomp', 'nsubj', 'poss', 'det']",3,0,0
60,"['root', 'ccomp', 'nsubj', 'poss']",6,4,3
61,"['root', 'ccomp', 'nsubj', 'poss', 'case']",5,0,0
62,"['root', 'ccomp', 'nsubj', 'prep']",16,1,0
63,"['root', 'ccomp', 'nsubj', 'prep', 'pobj']",12,1,0
64,"['root', 'ccomp', 'nsubj', 'npadvmod', 'det']",1,0,0
65,"['root', 'ccomp', 'nsubj', 'npadvmod']",1,0,0
66,"['root', 'ccomp', 'neg']",10,0,0
67,"['root', 'ccomp', 'dobj', 'prep', 'pobj', 'amod']",3,2,2
68,"['root', 'dobj', 'det']",56,0,0
69,"['root', 'dobj']",114,16,12
70,"['root', 'dobj', 'amod']",29,5,4
71,"['root', 'dobj', 'compound']",31,9,8
72,"['root', 'aux']",58,0,0
73,"['root', 'dobj', 'prep']",41,0,0
74,"['root', 'dobj', 'prep', 'pobj']",35,4,2
75,"['root', 'ccomp', 'dobj', 'det']",23,0,0
76,"['root', 'ccomp', 'dobj', 'prep', 'pcomp']",2,0,0
77,"['root', 'ccomp', 'dobj', 'prep', 'pcomp', 'ccomp', 'mark']",1,0,0
78,"['root', 'ccomp', 'dobj', 'prep', 'pcomp', 'ccomp']",1,0,0
79,"['root', 'ccomp', 'dobj', 'prep', 'pcomp', 'ccomp', 'nsubj', 'det']",2,0,0
80,"['root', 'ccomp', 'dobj', 'prep', 'pcomp', 'ccomp', 'nsubj']",1,0,0
